"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C1","0603_C","46.838mm","53.899mm","46.855mm","53.902mm","47.625mm","53.902mm","T","180","100nF (104) 10% 50V"
"C2","0603_C","17.018mm","47.549mm","17.018mm","47.552mm","17.018mm","48.322mm","T","270","10nF (103) 10% 50V"
"C3","CAP/DIP/10-5","34.417mm","60.503mm","34.417mm","60.506mm","34.417mm","58.006mm","T","180","50V 470uF"
"C4","CAP/DIP/10-5","23.622mm","49.073mm","23.622mm","49.076mm","21.122mm","49.076mm","T","90","50V 470uF"
"C5","0603_C","53.467mm","52.121mm","53.467mm","52.124mm","52.697mm","52.124mm","T","360","100nF (104) 10% 50V"
"C6","CAP/DIP/10-5","56.515mm","60.503mm","56.515mm","60.506mm","56.515mm","58.006mm","T","180","50V 470uF"
"C7","0603_C","50.14mm","50.343mm","50.157mm","50.346mm","49.387mm","50.346mm","T","360","10nF (103) 10% 50V"
"C8","0603_C","10.922mm","11.1mm","10.922mm","11.103mm","10.922mm","11.873mm","T","270","100nF (104) 10% 50V"
"C9","0603_C","19.05mm","28.499mm","19.05mm","28.502mm","18.28mm","28.502mm","T","360","10nF (103) 10% 50V"
"C10","0603_C","16.891mm","16.18mm","16.891mm","16.183mm","16.121mm","16.183mm","T","360","10nF (103) 10% 50V"
"C11","0603_C","29.591mm","7.417mm","29.591mm","7.42mm","30.361mm","7.42mm","T","180","10nF (103) 10% 50V"
"C12","0603_C","29.566mm","9.195mm","29.583mm","9.198mm","30.353mm","9.198mm","T","180","10nF (103) 10% 50V"
"C13","0603_C","22.352mm","30.404mm","22.36mm","30.407mm","21.59mm","30.407mm","T","360","680pF 10% 50V"
"C14","0603_C","20.218mm","14.402mm","20.201mm","14.405mm","19.431mm","14.405mm","T","360","6.8nF 10% 50V"
"C15","0603_C","55.753mm","8.509mm","55.753mm","8.509mm","56.523mm","8.509mm","T","180","100nF (104) 10% 50V"
"C16","0603_C","23.495mm","16.256mm","23.495mm","16.256mm","24.265mm","16.256mm","T","180","100nF (104) 10% 50V"
"C17","0603_C","39.472mm","44.755mm","39.489mm","44.758mm","38.719mm","44.758mm","T","360","100nF (104) 10% 50V"
"C18","0805_C","53.34mm","19.355mm","53.341mm","19.358mm","54.231mm","19.358mm","T","180","10uF (106) 10% 25V"
"C19","0603_C","29.591mm","15.291mm","29.591mm","15.294mm","28.821mm","15.294mm","T","360","100nF (104) 10% 50V"
"C20","0805_C","56.642mm","28.626mm","56.642mm","28.629mm","57.532mm","28.629mm","T","180","10uF (106) 10% 25V"
"C21","0603_C","53.086mm","28.499mm","53.078mm","28.502mm","52.308mm","28.502mm","T","360","100nF (104) 10% 50V"
